sub,slope,w_raw,lr_raw
1,2.350566482854632,-0.21780839725497703,1.1784344492289551
2,1.1099124979344885,0.15224712466533738,-0.531439138277325
3,1.5553854986916333,0.407680964615774,-0.8315164490381516
4,2.146054325658933,-0.2609843446185073,-0.788585738115979
5,0.6832004329720422,0.2854443475534937,-0.26462808515951797
6,2.5132324759838207,0.20720552099621328,1.0483954926125927
7,2.3446153460981187,0.07126283835638267,0.6237240919330318
8,2.443024353785516,0.6194652891881628,0.933454885175382
9,1.274519814834944,0.39136356151939167,-0.6601617679207769
10,2.1934431610999954,0.5279892013234183,1.092774415549285
11,1.1262155230821347,-0.0731893640023745,0.8677014173813444
12,2.226656940994412,0.18806343038754092,-0.02112584968086492
13,0.7977861450843731,0.2401321293781712,0.9188388112665261
14,2.6582047503733097,0.32913110413075236,1.27479184311009
15,1.5158461554870855,0.3058920556140056,0.37944702759642435
16,0.5851446252181997,0.1572483302678995,0.20275806175717992
17,2.099209502695466,0.5923370249533445,0.7624162124715881
18,2.3205148795298425,-0.1358286362843562,-0.06980374845839173
19,0.7427437264666941,0.44527843539043516,0.5817460175664905
20,2.2527265550175084,0.7399017646756946,0.27655306708627925
22,1.8991942667345372,0.5640302534940087,0.5095048348723948
23,2.5091850228815757,0.14999437145195532,0.7232556297168513
24,1.9895685124693885,0.2986884911549135,0.8213954861783265
25,1.9984464047998463,0.6267533950153351,0.08099640109711621
26,0.9602629957041093,0.3281927063459727,0.09379229483479308
27,3.003947968158328,-0.1581196823303719,1.2904023750320082
29,1.4893170371632594,0.032409687316378236,-0.7825860040590208
30,1.2184405868889525,-0.15484874217355357,0.5276654230772896
31,2.2013469703999933,0.49586655736551283,1.2204185750645573
