sub,liks
1,40.470145781762085
2,57.284796843694444
3,54.5838372340619
4,53.105908419008124
5,55.955910494899754
6,38.13569965407651
7,42.77257965833038
8,40.61948626886571
9,50.232744624203576
10,43.7590637999597
11,52.54501299983085
12,45.2043488053125
13,54.875239862659775
14,39.65835032271812
15,49.40102067953363
16,57.453137776510545
17,42.81485900191547
18,46.13158390916776
19,54.47244944790315
20,42.39063567908654
22,47.42681217716445
23,38.76907738493409
24,44.87671933559772
25,46.07762660373136
26,55.18258319973704
27,30.834313752963926
29,56.09782561973539
30,49.722442020243015
31,46.400432488705896
