stderror,pvalues,covmtx_1,covmtx_2,covmtx_3
0.181554374,2.13E-13,0.032961991,-0.020230978,0.000164339
0.326866932,0.002012144,-0.020230978,0.106841991,-0.040570716
0.23282165,0.485280555,0.000164339,-0.040570716,0.054205921
