participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst,gem_colour
1,1,30,1,1,2,3,1,1,2,0,12844.13699,12847.95306,12850.11915,12851.65283,12855.31934,NaN,NaN,0,1,0.673060063,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,2
1,1,31,1,1,2,3,2,0,2,0,12857.33655,12859.61953,12862.01908,12863.55251,12868.35327,NaN,NaN,0,1,0.628882687,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,2
1,1,32,1,1,2,3,1,1,2,0,12870.36955,12875.33579,12878.23646,12879.7693,12882.98597,NaN,NaN,0,-1,0.377540796,0.8,NaN,0,0,0,0.2,0.8,0.8,-1,2
1,1,33,2,1,4,2,1,1,1,1,12888.01875,12892.41992,12894.48552,12896.01923,12899.83602,12885.00259,NaN,0,1,0.628399085,0.8,NaN,0,1,1,0.2,0.8,0.8,1,3
1,1,34,2,1,4,2,1,1,1,1,12901.85287,12906.56827,12908.61935,12910.15195,12912.4192,NaN,NaN,0,1,0.893694503,0.2,NaN,1,0,0,0.2,0.2,0.8,-1,3
1,1,35,2,1,4,2,2,0,2,0,12914.4349,12919.25235,12921.36918,12922.88473,12927.10199,NaN,NaN,0,-1,0.859342185,0.2,NaN,0,1,1,0.2,0.2,0.8,1,3
1,1,36,2,1,4,2,2,0,1,-1,12929.11807,12935.05334,12937.10223,12938.63467,12944.26908,NaN,NaN,0,-1,0.686893409,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,3
1,1,37,2,1,3,1,2,0,1,1,12946.28484,12948.78481,12951.53474,12953.06797,12956.81777,NaN,NaN,0,1,1.176117424,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,1
1,1,38,2,1,4,2,2,0,1,-1,12958.83465,12964.76781,12967.33514,12968.86821,12973.81795,NaN,NaN,0,-1,0.686866616,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,3
1,1,39,2,1,3,1,2,0,1,1,12975.83477,12978.80128,12982.08434,12983.60148,12989.15167,NaN,NaN,0,1,0.627500571,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,1
1,1,40,2,0,3,1,1,1,1,-1,12991.16676,12996.81786,12999.20038,13000.73473,13004.23396,NaN,NaN,0,-1,1.488104851,0.2,1,0,1,NaN,0.2,0.2,0.8,1,1
1,1,41,2,1,4,2,1,1,2,0,13006.2505,13011.43432,13014.90089,13016.41675,13019.2334,NaN,NaN,0,1,0.344813937,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,3
1,1,42,2,1,4,2,1,1,2,0,13021.2501,13025.56696,13028.43408,13029.96785,13032.93433,NaN,NaN,0,-1,0.598058165,0.2,NaN,0,1,1,0.2,0.2,0.8,1,3
1,1,43,2,0,4,2,1,1,2,0,13034.95008,13039.43397,13042.93381,13044.46675,13047.16667,NaN,NaN,0,-1,0.362769924,0.2,1,0,1,NaN,0.2,0.2,0.8,1,3
1,1,44,2,1,3,1,1,1,2,0,13049.18334,13052.15079,13053.76757,13055.30009,13060.34972,NaN,NaN,0,-1,0.897780533,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,1
1,1,45,2,1,3,1,1,1,1,-1,13062.36654,13067.36778,13069.93375,13071.46629,13075.73306,NaN,NaN,0,-1,0.499726362,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,1
1,1,46,2,1,4,2,2,0,1,1,13077.74983,13083.0835,13084.93346,13086.46685,13089.01641,NaN,NaN,0,1,1.371004572,0.2,NaN,0,0,0,0.2,0.2,0.8,-1,3
1,1,47,2,1,3,1,1,1,2,0,13091.03273,13094.38274,13097.2666,13098.79968,13102.0326,NaN,NaN,0,-1,0.866502333,0.8,NaN,1,1,1,0.8,0.2,0.8,1,1
1,1,48,2,1,4,2,1,1,1,1,13104.04931,13109.81656,13111.91572,13113.45018,13116.89895,NaN,NaN,0,1,1.005269921,0.2,NaN,0,0,0,0.8,0.2,0.8,-1,3
1,1,49,2,1,4,2,2,0,2,0,13118.91573,13122.68298,13126.01561,13127.54958,13133.43303,NaN,NaN,0,1,1.138025826,0.2,NaN,0,1,1,0.8,0.2,0.8,1,3
1,1,50,2,1,3,1,2,0,1,1,13135.4487,13137.96653,13141.29967,13142.83237,13145.36475,NaN,NaN,0,1,1.239538638,0.8,NaN,0,1,1,0.8,0.2,0.8,1,1
