participantID,block_n,trials,blockType,forcedTrial,gem_presented,market_presented,door_side,chooseLeft,outcomeState,outcome,ons_fixation,ons_door_display,ons_responsecue,ons_gem_fixation,ons_outcome_display,ons_condition_text,ons_trigger,missed_trial,rew_loss,rt,prob_market_presented,correct_choice,market_reversal,pick_black,black_presented_force,prob_independent_1,prob_independent_2,prob_dependent,blackFirst
1,1,1,1,1,2,3,1,1,2,0,12435.641373037,12440.724478668,12443.724488076,12445.27762398,12448.109611523,12432.608048584,NaN,0,1,0.658661980998659,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,2,1,0,2,3,2,1,1,-1,12450.14205262,12452.625116337,12456.108413496,12457.642054478,12461.791554813,NaN,NaN,0,-1,0.599318909000431,0.8,0,0,1,NaN,0.2,0.8,0.8,-1
1,1,3,1,1,2,3,1,1,2,0,12463.807975258,12466.408653867,12468.224571741,12469.758112563,12474.82460165,NaN,NaN,0,1,0.781296622000809,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,4,1,0,1,3,1,1,2,0,12476.84094357,12481.657462786,12484.057636749,12485.590887492,12488.657454895,NaN,NaN,0,-1,0.889409460000024,0.8,1,0,0,NaN,0.2,0.8,0.8,-1
1,1,5,1,1,1,3,1,1,1,-1,12490.690896156,12493.990752906,12496.408002609,12497.942894026,12501.124875951,NaN,NaN,0,-1,0.389440867000303,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,6,1,1,1,3,2,0,1,-1,12503.140503944,12508.957938372,12512.224934802,12513.757821392,12517.524442221,NaN,NaN,0,-1,0.302637951999714,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,7,1,1,1,3,1,1,2,0,12519.540444809,12524.32455612,12526.540138245,12528.073601797,12532.140568981,NaN,NaN,0,-1,0.827009664000798,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,8,1,0,2,3,2,0,1,1,12534.157609617,12537.939991025,12540.706839176,12542.240294381,12546.040042414,NaN,NaN,0,1,1.01808933200118,0.8,1,0,1,NaN,0.2,0.8,0.8,1
1,1,9,1,1,1,3,1,1,2,0,12548.056747817,12552.956434866,12556.323668845,12557.857428251,12563.773447121,NaN,NaN,0,-1,0.428915751001114,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,10,1,1,1,3,2,0,1,1,12565.790176557,12568.306799362,12571.707239037,12573.240297276,12578.340163712,NaN,NaN,0,1,0.754840218000027,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,11,1,0,1,3,2,0,1,1,12580.356267774,12582.939778322,12584.77399715,12586.30620548,12592.306183141,NaN,NaN,0,1,0.618821664000279,0.8,1,0,1,NaN,0.2,0.8,0.8,1
1,1,12,1,0,1,3,1,1,1,-1,12594.323616771,12598.822898864,12601.172888964,12602.706054741,12606.156413639,NaN,NaN,0,-1,0.667227414000081,0.8,0,0,1,NaN,0.2,0.8,0.8,1
1,1,13,1,1,1,3,2,0,1,1,12608.172543107,12613.289211522,12615.222558838,12616.756660764,12622.206257852,NaN,NaN,0,1,0.413449296000181,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,14,1,1,2,3,2,0,2,0,12624.222168186,12628.70606086,12630.805972707,12632.339570849,12638.221826511,NaN,NaN,0,1,0.79658407900024,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,15,1,1,1,3,2,0,2,0,12640.239411455,12643.55626355,12645.171931838,12646.705489594,12651.83960613,NaN,NaN,0,-1,1.21019895099926,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,16,1,1,2,3,1,1,1,1,12653.855804913,12657.922006428,12659.989209483,12661.52182072,12663.672569438,NaN,NaN,0,1,0.523737960998915,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,17,1,1,1,3,2,0,1,-1,12665.689172587,12668.422437189,12671.405104974,12672.938410195,12678.605234752,NaN,NaN,0,-1,0.62718384100117,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,18,1,1,2,3,2,0,1,-1,12680.621597973,12685.289601128,12686.98788449,12688.504531482,12691.738952521,NaN,NaN,0,-1,0.937850633999915,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,19,1,1,2,3,1,1,1,1,12693.754820976,12696.655179742,12699.054666457,12700.589305428,12706.238353982,NaN,NaN,0,1,0.826621997999609,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,20,1,0,2,3,1,0,1,-1,12708.254306033,12712.738583239,12714.287964302,12715.821048683,12720.487621444,NaN,NaN,0,-1,0.779880809001043,0.8,0,0,1,NaN,0.2,0.8,0.8,-1
1,1,21,1,1,1,3,1,1,2,0,12722.504473727,12724.904636767,12726.771122834,12728.304706484,12734.138503263,NaN,NaN,0,1,0.635780293001517,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,22,1,1,1,3,1,1,2,0,12736.154053433,12741.421554691,12743.304178582,12744.83776343,12747.337188926,NaN,NaN,0,-1,0.691663470999629,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,23,1,1,2,3,2,0,1,-1,12749.353697233,12752.386941723,12755.088033721,12756.604116779,12761.570407406,NaN,NaN,0,-1,0.679818710999825,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,24,1,0,1,3,2,1,1,1,12763.587645896,12767.071189775,12769.853878382,12771.387544487,12773.971050284,NaN,NaN,0,1,1.27870250600063,0.8,1,0,1,NaN,0.2,0.8,0.8,-1
1,1,25,1,1,2,3,2,0,2,0,12775.987162592,12779.670875835,12781.804372002,12783.338496704,12786.970304412,NaN,NaN,0,1,0.951955345999522,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,26,1,1,2,3,2,0,1,-1,12788.987206687,12792.203734607,12793.787102106,12795.32037219,12799.603616455,NaN,NaN,0,-1,1.05024123000112,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,27,1,0,2,3,1,1,2,0,12801.620420129,12805.686370103,12807.336952202,12808.870112879,12813.986581762,NaN,NaN,0,1,0.981303987000501,0.8,1,0,1,NaN,0.2,0.8,0.8,1
1,1,28,1,1,1,3,2,NaN,9,NaN,12816.00321741,12820.086162353,12822.270646325,12823.786463179,12826.220317717,NaN,NaN,1,1,NaN,0.8,NaN,0,NaN,0,0.2,0.8,0.8,-1
1,1,29,1,1,1,3,1,1,2,0,12828.238568837,12833.669911818,12836.736393343,12838.252974753,12842.119899082,NaN,NaN,0,-1,0.990717490998577,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,30,1,1,2,3,1,1,2,0,12844.136993636,12847.953059777,12850.11914876,12851.652831859,12855.319342643,NaN,NaN,0,1,0.673060062999866,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,31,1,1,2,3,2,0,2,0,12857.336545501,12859.619529301,12862.019079591,12863.552510127,12868.353273169,NaN,NaN,0,1,0.628882686998622,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,32,1,1,2,3,1,1,2,0,12870.369545993,12875.335792511,12878.236457909,12879.769302735,12882.985970959,NaN,NaN,0,-1,0.377540796000176,0.8,NaN,0,0,0,0.2,0.8,0.8,-1
1,1,33,2,1,4,2,1,1,1,1,12888.018754326,12892.419917858,12894.485523979,12896.019233309,12899.836022874,12885.002586118,NaN,0,1,0.628399085000638,0.8,NaN,0,1,1,0.2,0.8,0.8,1
1,1,34,2,1,4,2,1,1,1,1,12901.852869956,12906.568266399,12908.619346951,12910.151953704,12912.419195865,NaN,NaN,0,1,0.893694503000006,0.2,NaN,1,0,0,0.2,0.2,0.8,-1
1,1,35,2,1,4,2,2,0,2,0,12914.43490068,12919.252346725,12921.369179542,12922.884725285,12927.1019901,NaN,NaN,0,-1,0.85934218500006,0.2,NaN,0,1,1,0.2,0.2,0.8,1
1,1,36,2,1,4,2,2,0,1,-1,12929.118069614,12935.053342084,12937.102226482,12938.634673269,12944.269084677,NaN,NaN,0,-1,0.686893408999822,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,37,2,1,3,1,2,0,1,1,12946.284841947,12948.784805479,12951.53474005,12953.067966083,12956.817774804,NaN,NaN,0,1,1.17611742400004,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,38,2,1,4,2,2,0,1,-1,12958.834649838,12964.767811079,12967.335140157,12968.868208271,12973.817946487,NaN,NaN,0,-1,0.686866616000771,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,39,2,1,3,1,2,0,1,1,12975.834769739,12978.801277832,12982.084340063,12983.60148059,12989.151673101,NaN,NaN,0,1,0.627500571001292,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,40,2,0,3,1,1,1,1,-1,12991.166759179,12996.817862967,12999.200379722,13000.734731115,13004.233959975,NaN,NaN,0,-1,1.48810485099966,0.2,1,0,1,NaN,0.2,0.2,0.8,1
1,1,41,2,1,4,2,1,1,2,0,13006.250502692,13011.434320621,13014.900888624,13016.416749252,13019.233396956,NaN,NaN,0,1,0.344813937001163,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,42,2,1,4,2,1,1,2,0,13021.250096115,13025.56695681,13028.434078327,13029.967852222,13032.934327346,NaN,NaN,0,-1,0.598058165000111,0.2,NaN,0,1,1,0.2,0.2,0.8,1
1,1,43,2,0,4,2,1,1,2,0,13034.950082406,13039.433969207,13042.933808625,13044.46674747,13047.166671651,NaN,NaN,0,-1,0.362769924000531,0.2,1,0,1,NaN,0.2,0.2,0.8,1
1,1,44,2,1,3,1,1,1,2,0,13049.183341515,13052.150786592,13053.767567488,13055.300091571,13060.349722819,NaN,NaN,0,-1,0.897780532999604,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,45,2,1,3,1,1,1,1,-1,13062.366535794,13067.367777758,13069.933745916,13071.466291309,13075.733057488,NaN,NaN,0,-1,0.49972636199891,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,46,2,1,4,2,2,0,1,1,13077.749834019,13083.083495945,13084.933460272,13086.466849952,13089.016407681,NaN,NaN,0,1,1.37100457199995,0.2,NaN,0,0,0,0.2,0.2,0.8,-1
1,1,47,2,1,3,1,1,1,2,0,13091.032734912,13094.382739175,13097.266602976,13098.799684941,13102.03260354,NaN,NaN,0,-1,0.866502333001336,0.8,NaN,1,1,1,0.8,0.2,0.8,1
1,1,48,2,1,4,2,1,1,1,1,13104.049305439,13109.816562881,13111.915721439,13113.450179342,13116.898954829,NaN,NaN,0,1,1.00526992100095,0.2,NaN,0,0,0,0.8,0.2,0.8,-1
